Stock,Year,Month,Day,Open,High,Low,Close
FB,2019,10,1,179.149994,179.839996,174.880005,175.809998
FB,2019,10,2,174.839996,176.529999,173.089996,174.600006
FB,2019,10,3,175.570007,179.839996,173.630005,179.380005
FB,2019,10,4,263.059998,267.75,259.809998,263.41499350000004
FB,2019,10,7,180.0,181.179993,178.089996,179.679993
FB,2019,10,8,178.259995,180.369995,177.720001,177.75
FB,2019,10,9,179.160004,180.720001,177.940002,179.850006
FB,2019,10,10,180.320007,181.610001,179.169998,180.029999
FB,2019,10,11,182.149994,186.490005,182.139999,184.190002
FB,2019,10,14,184.199997,184.619995,182.570007,183.279999
FB,2019,10,15,183.800003,190.380005,183.660004,263.41499350000004
FB,2019,10,16,188.320007,189.699997,186.899994,189.550003
FB,2019,10,17,190.300003,190.839996,188.770004,190.389999
FB,2019,10,18,190.229996,191.490005,183.919998,185.850006
FB,2019,10,21,187.039993,189.910004,186.75,189.759995
FB,2019,10,22,190.0,190.649994,181.5,182.339996
FB,2019,10,23,182.009995,186.380005,182.0,186.149994
FB,2019,10,24,184.619995,186.729996,182.800003,263.41499350000004
FB,2019,10,25,185.830002,189.0,185.089996,187.889999
FB,2019,10,28,187.199997,189.529999,185.080002,189.399994
FB,2019,10,29,191.690002,192.529999,188.470001,189.309998
FB,2019,10,30,189.559998,190.449997,185.979996,188.25
FB,2019,10,31,196.699997,198.089996,188.25,191.649994
FB,2019,11,1,192.850006,194.110001,189.910004,193.619995
FB,2019,11,4,194.550003,197.369995,193.809998,194.720001
FB,2019,11,5,195.369995,195.75,193.600006,194.320007
FB,2019,11,6,194.029999,194.369995,191.350006,191.550003
FB,2019,11,7,191.910004,193.440002,189.470001,190.419998
FB,2019,11,8,190.0,192.339996,189.699997,190.839996
FB,2019,11,11,189.929993,190.080002,188.539993,189.610001
FB,2019,11,12,190.0,195.059998,189.740005,194.470001
FB,2019,11,13,194.699997,195.699997,192.740005,263.41499350000004
FB,2019,11,14,192.929993,194.029999,191.449997,193.149994
FB,2019,11,15,194.259995,195.300003,193.380005,195.100006
FB,2019,11,18,194.559998,198.630005,193.050003,263.41499350000004
FB,2019,11,19,197.399994,200.0,196.860001,199.320007
FB,2019,11,20,198.580002,199.589996,195.429993,197.509995
FB,2019,11,21,197.419998,199.089996,196.860001,197.929993
FB,2019,11,22,198.380005,199.300003,197.619995,198.820007
FB,2019,11,25,199.520004,200.970001,199.25,199.789993
FB,2019,11,26,200.0,200.149994,198.039993,198.970001
FB,2019,11,27,199.899994,203.139999,199.419998,202.0
FB,2019,11,29,201.600006,203.800003,201.210007,201.639999
FB,2019,12,2,202.130005,202.179993,198.050003,199.699997
FB,2019,12,3,197.600006,198.929993,195.080002,198.820007
FB,2019,12,4,200.0,200.029999,198.050003,198.710007
FB,2019,12,5,199.860001,201.289993,198.210007,263.41499350000004
FB,2019,12,6,200.5,201.570007,200.059998,201.050003
FB,2019,12,9,200.649994,203.139999,200.210007,201.339996
FB,2019,12,10,201.660004,202.050003,200.149994,200.869995
FB,2019,12,11,200.279999,202.630005,200.279999,202.259995
FB,2019,12,12,202.350006,203.660004,194.100006,196.75
FB,2019,12,13,196.399994,196.800003,193.169998,194.110001
FB,2019,12,16,195.270004,199.119995,194.809998,197.919998
FB,2019,12,17,198.839996,199.0,196.130005,198.389999
FB,2019,12,18,200.089996,204.300003,200.089996,202.5
FB,2019,12,19,202.779999,206.300003,202.509995,206.059998
FB,2019,12,20,207.479996,207.710007,203.429993,206.300003
FB,2019,12,23,206.699997,208.589996,205.679993,206.179993
FB,2019,12,24,206.300003,206.789993,205.0,205.119995
FB,2019,12,26,205.570007,207.820007,205.309998,207.789993
FB,2019,12,27,208.669998,208.929993,206.589996,208.100006
FB,2019,12,30,207.860001,207.899994,203.899994,204.410004
FB,2019,12,31,204.0,205.559998,203.600006,205.25
FB,2020,1,2,263.059998,267.75,259.809998,263.41499350000004
FB,2020,1,3,207.210007,210.399994,206.949997,208.669998
FB,2020,1,6,206.699997,212.779999,206.520004,212.600006
FB,2020,1,7,212.820007,214.580002,211.75,213.059998
FB,2020,1,8,213.0,216.240005,212.610001,215.220001
FB,2020,1,9,217.539993,218.380005,216.279999,218.300003
FB,2020,1,10,219.199997,219.880005,217.419998,218.059998
FB,2020,1,13,219.600006,221.970001,219.210007,221.910004
FB,2020,1,14,221.610001,222.380005,218.630005,219.059998
FB,2020,1,15,220.610001,221.679993,220.139999,221.149994
FB,2020,1,16,222.570007,222.630005,220.389999,221.770004
FB,2020,1,17,222.029999,222.289993,220.529999,222.139999
FB,2020,1,21,222.160004,222.369995,219.119995,221.440002
FB,2020,1,22,222.309998,222.75,221.279999,221.320007
FB,2020,1,23,220.75,221.490005,219.270004,219.759995
FB,2020,1,24,220.800003,221.779999,216.110001,217.940002
FB,2020,1,27,213.100006,216.059998,212.5,214.869995
FB,2020,1,28,216.139999,218.740005,213.520004,217.789993
FB,2020,1,29,221.440002,224.199997,218.449997,223.229996
FB,2020,1,30,206.529999,211.429993,204.75,209.529999
FB,2020,1,31,208.429993,208.690002,201.059998,201.910004
FB,2020,2,3,203.440002,205.139999,202.5,204.190002
FB,2020,2,4,206.619995,210.600006,205.199997,209.830002
FB,2020,2,5,212.509995,212.729996,208.710007,210.110001
FB,2020,2,6,210.470001,211.190002,209.339996,210.850006
FB,2020,2,7,210.300003,212.820007,209.929993,212.330002
FB,2020,2,10,211.520004,213.800003,210.660004,213.059998
FB,2020,2,11,210.190002,210.860001,206.509995,207.190002
FB,2020,2,12,207.850006,211.220001,207.399994,210.759995
FB,2020,2,13,209.520004,214.330002,209.179993,213.139999
FB,2020,2,14,214.0,214.929993,212.649994,214.179993
FB,2020,2,18,263.059998,267.75,259.809998,263.41499350000004
FB,2020,2,19,217.990005,218.320007,216.110001,217.490005
FB,2020,2,20,263.059998,267.75,259.809998,263.41499350000004
FB,2020,2,21,213.479996,214.240005,208.830002,210.179993
FB,2020,2,24,201.800003,203.649994,198.169998,200.720001
FB,2020,2,25,202.25,203.5,195.949997,196.770004
FB,2020,2,26,197.190002,201.210007,195.490005,197.199997
FB,2020,2,27,191.820007,195.880005,189.5,189.75
FB,2020,2,28,182.699997,192.740005,181.820007,192.470001
FB,2020,3,2,194.029999,196.570007,188.850006,196.440002
FB,2020,3,3,196.220001,197.240005,183.970001,185.889999
FB,2020,3,4,189.169998,191.830002,186.389999,191.759995
FB,2020,3,5,186.779999,188.990005,183.889999,185.169998
FB,2020,3,6,178.330002,183.779999,176.259995,181.089996
FB,2020,3,9,169.600006,175.0,165.190002,169.5
FB,2020,3,10,263.059998,267.75,259.809998,263.41499350000004
FB,2020,3,11,174.009995,175.880005,167.660004,170.240005
FB,2020,3,12,159.539993,166.600006,154.339996,154.470001
FB,2020,3,13,163.529999,170.789993,157.600006,170.279999
FB,2020,3,16,152.320007,159.130005,143.100006,146.009995
FB,2020,3,17,150.740005,153.940002,140.0,149.419998
FB,2020,3,18,139.75,148.179993,137.100006,146.960007
FB,2020,3,19,146.619995,159.929993,144.800003,153.130005
FB,2020,3,20,263.059998,267.75,259.809998,263.41499350000004
FB,2020,3,23,149.660004,152.309998,142.25,148.100006
FB,2020,3,24,155.210007,161.309998,152.570007,160.979996
FB,2020,3,25,158.919998,162.990005,153.059998,156.210007
FB,2020,3,26,158.25,164.0,157.020004,163.339996
FB,2020,3,27,158.199997,160.089996,154.75,156.789993
