Stock,Day,Month,Year,Open,High,Low,Close
AMZN,15,Nov,2019,1760.050049,1761.680054,1732.859985,1739.489990
AMZN,18,Nov,2019,1738.300049,1753.699951,1722.709961,1752.530029
AMZN,19,Nov,2019,1756.989990,1760.680054,1743.030029,1752.790039
AMZN,20,Nov,2019,1749.140015,1762.520020,1734.119995,1745.530029
AMZN,21,Nov,2019,1743.000000,1746.869995,1730.359985,1734.709961
AMZN,22,Nov,2019,1739.020020,1746.430054,1731.000000,1745.719971
AMZN,25,Nov,2019,1753.250000,1777.420044,1753.239990,1773.839966
AMZN,26,Nov,2019,1779.920044,1797.030029,1778.349976,1796.939941
AMZN,27,Nov,2019,1801.000000,1824.500000,1797.310059,1818.510010
AMZN,29,Nov,2019,1817.780029,1824.689941,1800.790039,1800.800049
AMZN,02,Dec,2019,1804.400024,1805.550049,1762.680054,1781.599976
AMZN,03,Dec,2019,1760.000000,1772.869995,1747.229980,1769.959961
AMZN,04,Dec,2019,1774.010010,1789.089966,1760.219971,1760.689941
AMZN,05,Dec,2019,1763.500000,1763.500000,1740.000000,1740.479980
AMZN,06,Dec,2019,1751.199951,1754.400024,1740.130005,1751.599976
AMZN,09,Dec,2019,1750.660034,1766.890015,1745.609985,1749.510010
AMZN,10,Dec,2019,1747.400024,1750.670044,1735.000000,1739.209961
AMZN,11,Dec,2019,,,,
AMZN,12,Dec,2019,1750.000000,1764.000000,1745.439941,1760.329956
AMZN,13,Dec,2019,1765.000000,1768.989990,1755.000000,1760.939941
AMZN,16,Dec,2019,1767.000000,1769.500000,1757.050049,1769.209961
AMZN,17,Dec,2019,1778.010010,1792.000000,1777.390015,1790.660034
AMZN,18,Dec,2019,1795.020020,1798.199951,1782.359985,1784.030029
AMZN,19,Dec,2019,1780.500000,1792.989990,1774.060059,1792.280029
AMZN,20,Dec,2019,1799.619995,1802.969971,1782.449951,1786.500000
AMZN,23,Dec,2019,1788.260010,1793.000000,1784.510010,1793.000000
AMZN,24,Dec,2019,1793.810059,1795.569946,1787.579956,1789.209961
AMZN,26,Dec,2019,1801.010010,1870.459961,1799.500000,1868.770020
AMZN,27,Dec,2019,1882.920044,1901.400024,1866.010010,1869.800049
AMZN,30,Dec,2019,1874.000000,1884.000000,1840.619995,1846.890015
AMZN,31,Dec,2019,1842.000000,1853.260010,1832.229980,1847.839966
AMZN,02,Jan,2020,1875.000000,1898.010010,1864.150024,1898.010010
AMZN,03,Jan,2020,1864.500000,1886.199951,1864.500000,1874.969971
AMZN,06,Jan,2020,1860.000000,1903.689941,1860.000000,1902.880005
AMZN,07,Jan,2020,1904.500000,1913.890015,1892.040039,1906.859985
AMZN,08,Jan,2020,1898.040039,1911.000000,1886.439941,1891.969971
AMZN,09,Jan,2020,1909.890015,1917.819946,1895.800049,1901.050049
AMZN,10,Jan,2020,1905.369995,1906.939941,1880.000000,1883.160034
AMZN,13,Jan,2020,,,,
AMZN,14,Jan,2020,1885.880005,1887.109985,1858.550049,1869.439941
AMZN,15,Jan,2020,1872.250000,1878.859985,1855.089966,1862.020020
AMZN,16,Jan,2020,1882.989990,1885.589966,1866.020020,1877.939941
AMZN,17,Jan,2020,1885.890015,1886.640015,1857.250000,1864.719971
AMZN,21,Jan,2020,1865.000000,1894.270020,1860.000000,1892.000000
AMZN,22,Jan,2020,1896.089966,1902.500000,1883.339966,1887.459961
AMZN,23,Jan,2020,1885.109985,1889.979980,1872.760010,1884.579956
AMZN,24,Jan,2020,1891.369995,1894.989990,1847.439941,1861.640015
AMZN,27,Jan,2020,1820.000000,1841.000000,1815.339966,1828.339966
AMZN,28,Jan,2020,1840.500000,1858.109985,1830.020020,1853.250000
AMZN,29,Jan,2020,1864.000000,1874.750000,1855.020020,1858.000000
AMZN,30,Jan,2020,1858.000000,1872.869995,1850.609985,1870.680054
AMZN,31,Jan,2020,2051.469971,2055.719971,2002.270020,2008.719971
AMZN,03,Feb,2020,2010.599976,2048.500000,2000.250000,2004.199951
AMZN,04,Feb,2020,2029.880005,2059.800049,2015.369995,2049.669922
AMZN,05,Feb,2020,,,,
AMZN,06,Feb,2020,2041.020020,2056.300049,2024.800049,2050.229980
AMZN,07,Feb,2020,2041.989990,2098.530029,2038.099976,2079.280029
AMZN,10,Feb,2020,2085.010010,2135.600098,2084.959961,2133.909912
AMZN,11,Feb,2020,2150.899902,2185.949951,2136.000000,2150.800049
AMZN,12,Feb,2020,2163.199951,2180.250000,2155.290039,2160.000000
AMZN,13,Feb,2020,2144.989990,2170.280029,2142.000000,2149.870117
AMZN,14,Feb,2020,2155.679932,2159.040039,2125.889893,2134.870117
AMZN,18,Feb,2020,2125.020020,2166.070068,2124.110107,2155.669922
AMZN,19,Feb,2020,2167.800049,2185.100098,2161.120117,2170.219971
AMZN,20,Feb,2020,2173.070068,2176.790039,2127.449951,2153.100098
AMZN,21,Feb,2020,2142.149902,2144.550049,2088.000000,2095.969971
AMZN,24,Feb,2020,2003.180054,2039.300049,1987.969971,2009.290039
AMZN,25,Feb,2020,2026.420044,2034.599976,1958.420044,1972.739990
AMZN,26,Feb,2020,,,,
AMZN,27,Feb,2020,1934.380005,1975.000000,1882.760010,1884.300049
AMZN,28,Feb,2020,1814.630005,1889.760010,1811.130005,1883.750000
AMZN,02,Mar,2020,1906.489990,1954.510010,1870.000000,1953.949951
AMZN,03,Mar,2020,1975.369995,1996.329956,1888.089966,1908.989990
AMZN,04,Mar,2020,1946.569946,1978.000000,1922.000000,1975.829956
AMZN,05,Mar,2020,1933.000000,1960.719971,1910.000000,1924.030029
AMZN,06,Mar,2020,1875.000000,1910.869995,1869.500000,1901.089966
AMZN,09,Mar,2020,1773.859985,1862.770020,1761.290039,1800.609985
AMZN,10,Mar,2020,1870.880005,1894.270020,1818.170044,1891.819946
AMZN,11,Mar,2020,1857.849976,1871.319946,1801.500000,1820.859985
AMZN,12,Mar,2020,1721.979980,1765.000000,1675.000000,1676.609985
AMZN,13,Mar,2020,1755.000000,1786.310059,1680.619995,1785.000000
AMZN,16,Mar,2020,1641.510010,1759.449951,1626.030029,1689.150024
AMZN,17,Mar,2020,1775.469971,1857.780029,1689.239990,1807.839966
AMZN,18,Mar,2020,,,,
AMZN,19,Mar,2020,1860.000000,1945.000000,1832.650024,1880.930054
AMZN,20,Mar,2020,1926.310059,1957.000000,1820.729980,1846.089966
AMZN,23,Mar,2020,1827.750000,1919.400024,1812.000000,1902.829956
AMZN,24,Mar,2020,1951.500000,1955.000000,1900.339966,1940.099976
AMZN,25,Mar,2020,1920.689941,1950.260010,1885.780029,1885.839966
AMZN,26,Mar,2020,1902.000000,1956.489990,1889.290039,1955.489990
AMZN,27,Mar,2020,1930.859985,1939.790039,1899.920044,1900.099976
AMZN,30,Mar,2020,1922.829956,1973.630005,1912.339966,1963.949951
AMZN,31,Mar,2020,1964.349976,1993.020020,1944.010010,1949.719971
—,—,—,—,—,—,—,—
AMZN,01,Apr,2020,1932.969971,1944.959961,1893.000000,1907.699951
AMZN,02,Apr,2020,1901.640015,1927.530029,1890.000000,1918.829956
AMZN,03,Apr,2020,,,,
AMZN,06,Apr,2020,1936.000000,1998.520020,1930.020020,1997.589966
AMZN,07,Apr,2020,2017.109985,2035.719971,1997.619995,2011.599976
AMZN,08,Apr,2020,2021.000000,2044.000000,2011.150024,2043.000000
AMZN,09,Apr,2020,2044.300049,2053.000000,2017.660034,2042.760010
AMZN,13,Apr,2020,2040.000000,2180.000000,2038.000000,2168.870117
AMZN,14,Apr,2020,2200.469971,2292.000000,2186.209961,2283.320068
